Month,Groceries,Utilities,Rent,Transportation,Entertainment,Dining_Out,Shopping,Healthcare,Insurance,Miscellaneous,Earnings
2024-01,456.78,189.23,1500.00,234.56,123.45,345.67,567.89,89.23,234.56,382.08,4500.00
2024-02,478.90,192.34,1500.00,245.67,145.67,367.89,523.45,0.00,234.56,568.30,4500.00
2024-03,445.67,187.89,1500.00,256.78,167.89,389.23,567.89,156.78,234.56,438.98,4500.00
2024-04,467.89,195.67,1500.00,223.45,134.56,356.78,345.67,45.67,234.56,484.98,4500.00
2024-05,489.23,188.90,1500.00,234.56,156.78,378.90,467.89,89.23,234.56,416.73,4500.00
2024-06,434.56,191.23,1500.00,245.67,178.90,398.45,523.45,0.00,234.56,527.74,4500.00
2024-07,456.78,194.56,1500.00,256.78,189.23,367.89,489.23,156.78,234.56,499.86,4500.00
2024-08,478.90,186.78,1500.00,223.45,145.67,389.23,456.78,89.23,234.56,418.85,4500.00
2024-09,445.67,193.45,1500.00,234.56,167.89,356.78,523.45,0.00,234.56,600.42,4500.00
2024-10,467.89,190.12,1500.00,245.67,189.23,378.90,489.23,156.78,234.56,493.29,4500.00
2024-11,454.02,184.23,1500.00,230.70,179.64,351.80,507.81,120.78,234.56,510.69,4500.00
2024-12,432.79,192.15,1500.0,222.6,195.91,397.94,530.84,48.74,234.56,536.85,4500.0
2025-01,437.32,189.9,1500.0,256.37,140.7,379.75,481.17,83.21,234.56,436.97,4500.0
2025-02,476.51,198.79,1500.0,243.92,193.75,345.31,469.6,7.24,234.56,477.74,4500.0
2025-03,479.72,187.14,1500.0,241.71,131.27,388.13,457.46,157.9,234.56,439.74,4500.0
2025-04,478.93,194.14,1500.0,250.85,125.92,361.51,461.59,138.1,234.56,466.18,4500.0
